date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:45	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Aug%202020%2011:35:47%20GMT	http://golden-castle.biz/robots.txt		(from )
20:35:45	55/55	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2011:35:48%20GMT	http://golden-castle.biz/account/	C:/My%20Web%20Sites/money/golden-castle.biz/account/index.html	(from )
20:35:46	4489/4489	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2011:35:48%20GMT	http://golden-castle.biz/account/login.php	C:/My%20Web%20Sites/money/golden-castle.biz/account/login.html	(from http://golden-castle.biz/account/)
20:35:46	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Aug%202020%2011:35:49%20GMT	http://golden-castle.biz/account/assets/images/icons/favicon.ico	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/images/icons/favicon.ico	(from http://golden-castle.biz/account/login.php)
20:35:47	124962/124962	---M--	200	added ('OK')	text/css	etag:%2232c0b1d-1e822-556781af6cf00%22	http://golden-castle.biz/account/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://golden-castle.biz/account/login.php)
20:35:49	31000/31000	---M--	200	added ('OK')	text/css	etag:%2232c0a9d-7918-5503f6d82be80%22	http://golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://golden-castle.biz/account/login.php)
20:35:49	7354/7354	---M--	200	added ('OK')	text/css	etag:%2232c0ac7-1cba-55f062cd2ac80%22	http://golden-castle.biz/account/assets/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	(from http://golden-castle.biz/account/login.php)
20:35:50	23848/23848	---M--	200	added ('OK')	text/css	etag:%2232c0b0e-5d28-558172709d080%22	http://golden-castle.biz/account/assets/vendor/animate/animate.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/animate/animate.css	(from http://golden-castle.biz/account/login.php)
20:35:51	19686/19686	---M--	200	added ('OK')	text/css	etag:%2232c0b26-4ce6-556f18df05c00%22	http://golden-castle.biz/account/assets/vendor/css-hamburgers/hamburgers.min.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/css-hamburgers/hamburgers.min.css	(from http://golden-castle.biz/account/login.php)
20:35:52	15196/15196	---M--	200	added ('OK')	text/css	etag:%2232c0b2f-3b5c-5577da0736980%22	http://golden-castle.biz/account/assets/vendor/select2/select2.min.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/vendor/select2/select2.min.css	(from http://golden-castle.biz/account/login.php)
20:35:52	11087/11087	---M--	200	added ('OK')	text/css	etag:%2232c0a97-2b4f-5ab8043033300%22	http://golden-castle.biz/account/assets/css/main.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/css/main.css	(from http://golden-castle.biz/account/login.php)
20:35:54	86814/86814	---M--	200	added ('OK')	text/css	etag:%2232c0a9b-1531e-560465eeb2800%22	http://golden-castle.biz/account/assets/css/util.css	C:/My%20Web%20Sites/money/golden-castle.biz/account/assets/css/util.css	(from http://golden-castle.biz/account/login.php)
